"","nGene","nReads","orig.ident","percent.mito","percent.ERCC","percent.ribo","res.0.6","plate","cell_ontology_class","tsne_1","tsne_2","tsne_3"
"K5.MAA000574.3_8_M.1.1",346,248264,"Combined",0,0.415603277615749,0.001023104437212,"0","MAA000574","udf",-6.10410319098574,-4.56734532683838,24.980244819236
"M18.MAA000574.3_8_M.1.1",3786,941354,"Combined",0,0.0147223210734546,0.00439898274188031,"2","MAA000574","type B pancreatic cell",9.74292272459713,-17.60581437179,-18.7546234248221
"O3.MAA000574.3_8_M.1.1",886,520793,"Combined",0,0.0814792474660092,0.00122697501694531,"7","MAA000574","pancreatic acinar cell",-10.6259928129034,12.208889387419,17.6828332969153
"P5.MAA000574.3_8_M.1.1",355,145564,"Combined",0,0.206826466725879,0.000446538979417988,"0","MAA000574","udf",-6.6555837864971,-7.56854682804867,21.7174555975588
"L11.MAA000574.3_8_M.1.1",5476,1950691,"Combined",0,0.00675017872163621,0.0140319507292544,"5","MAA000574","pancreatic ductal cell",-17.6990732950148,1.67492350763227,-23.1790899598669
"H5.MAA000574.3_8_M.1.1",280,211517,"Combined",0,0.297229679442879,0.000354581428443104,"0","MAA000574","udf",-4.59131496096684,-4.26777749900885,24.874345605716
"I21.MAA000574.3_8_M.1.1",2638,1354460,"Combined",0,0.0343777380601862,0.0112052035497541,"6","MAA000574","leukocyte",-24.9749248602467,-11.8411510949431,4.60912378858605
"K7.MAA000574.3_8_M.1.1",1471,1041838,"Combined",0,0.0414547863409069,0.0023976856286678,"7","MAA000574","pancreatic acinar cell",-11.1277328590889,18.9449050029256,9.22113621756269
"L12.MAA000574.3_8_M.1.1",261,451888,"Combined",0,0.103117439361071,0.00369560599086499,"0","MAA000574","udf",-1.60654254076489,-1.43490944106932,26.4610502272987
"M19.MAA000574.3_8_M.1.1",1038,441117,"Combined",0,0.0392893933883182,0.00476290870676034,"0","MAA000574","pancreatic acinar cell",-8.21172088988617,12.1621882013752,20.5960459590104
"O4.MAA000574.3_8_M.1.1",261,462145,"Combined",0,0.203315031417809,0.000190416427744539,"0","MAA000574","udf",-1.96542501314082,-2.47110191964946,26.0732370575444
"E14.MAA000574.3_8_M.1.1",248,377,"Combined",0,0.997173213763525,0.0291777188328912,"6","MAA000574","udf",-19.5410902070079,-16.5070599565805,7.79628947978391
"F19.MAA000574.3_8_M.1.1",7252,1353746,"Combined",0,0.00332410339397215,0.00657139522480584,"2","MAA000574","type B pancreatic cell",11.3126194104385,-12.3576836539696,-18.5617151589329
"P6.MAA000574.3_8_M.1.1",160,119794,"Combined",0,0.372704470359064,0.0027630766148555,"0","MAA000574","udf",-6.27909037354758,-6.87281052548322,22.4342558100854
"H7.MAA000574.3_8_M.1.1",1091,968613,"Combined",0,0.0378316039169642,0.00220831229810048,"0","MAA000574","pancreatic acinar cell",-2.81503833957301,6.5728276988624,25.5436392853202
"I22.MAA000574.3_8_M.1.1",3733,1994348,"Combined",0,0.00887237408191329,0.0107975137739251,"5","MAA000574","pancreatic ductal cell",-18.4569691235497,3.11822922438375,-18.9600226993376
"K8.MAA000574.3_8_M.1.1",2179,444339,"Combined",0,0.0497963111467522,0.00214475884403575,"7","MAA000574","pancreatic acinar cell",-13.080275235528,18.8768564509275,7.7218332239026
"L13.MAA000574.3_8_M.1.1",175,201755,"Combined",0,0.33998835398647,0.00176947287551734,"0","MAA000574","udf",-5.29979909870344,-5.22312355540843,23.2069294907815
"E16.MAA000574.3_8_M.1.1",354,910130,"Combined",0,0.0513006269902902,0.00116247129530946,"0","MAA000574","udf",-0.859352451612721,4.15059379795804,26.521495227732
"F20.MAA000574.3_8_M.1.1",3359,1622931,"Combined",0,0.0115187627562441,0.00657514090247829,"12","MAA000574","pancreatic stellate cell",-5.57679688014664,-32.2495800584782,1.40729637290908
"M20.MAA000574.3_8_M.1.1",2278,1904894,"Combined",0,0.0256655509362315,0.00998060784484596,"10","MAA000574","endothelial cell",-32.2988766610038,5.50264842591604,-5.50077909488031
"O5.MAA000574.3_8_M.1.1",91,115,"Combined",0,0.995289202031788,0.0173913043478261,"6","MAA000574","udf",-13.0521293950297,-12.5665115472267,6.99946678756205
