CellID;cellType;HIF1A;ATP1A2;FGFR3;LMO3;TGFBI;ANXA2;EGFR;MBP;SOX9;STMN2;dimension 1;dimension 2;dimension 3;Dataset
1001000183.B8;Neoplastic;1054.38;0;0;0;9.926171;3351.7373;938.57465;0;95.95299;0;-3.4604278;7.5489926;3.7383509;Glioblastoma
1001000183.A9;Neoplastic;256.35623;7.8636875;168.28291;221.756;0;1328.9633;4469.72;0;314.54752;0;-4.2599015;7.802962;3.222114;Glioblastoma
1001000183.G10;Neoplastic;706.31366;0;24.73472;236.35399;0;1335.6749;1261.4707;0;588.13666;0;-4.8991184;7.733211;2.9674764;Glioblastoma
1001000183.F6;Neoplastic;959.95215;0;0;0;724.27527;2374.0134;408.12338;0;0;0;-3.4429455;7.523003;3.6104417;Glioblastoma
1001000183.D4;Neoplastic;221.38745;0;0;0;0;0;0;0;49.990715;0;-4.619262;7.0511537;3.0497074;Glioblastoma
1001000183.F11;Neoplastic;455.96698;0;0;0;0;2100.1602;0;0;0;0;-3.4343424;6.41552;3.5710714;Glioblastoma
1001000183.G11;Neoplastic;0;0;164.38081;428.81952;0;300.17368;1865.365;85.76391;71.469925;0;-4.560831;7.655904;2.9432666;Glioblastoma
1001000183.G2;OPC;0;0;0;0;0;0;0;0;0;0;-6.5331917;0.5300823;7.1307354;Glioblastoma
1.00E+17;Neoplastic;1283.2871;0;0;0;0;1352.8132;757.7168;0;27.103401;0;-3.5329628;8.159943;3.791718;Glioblastoma
1001000183.C11;Neoplastic;420.3447;0;0;0;0;140.1149;501.2561;0;112.4866;0;-4.720856;7.8741903;3.0301735;Glioblastoma
1001000183.H11;Neoplastic;761.0641;0;79.03848;0;0;0;694.77374;268.9858;252.41322;0;-5.055898;7.29005;2.6987097;Glioblastoma
1001000183.A7;Neoplastic;9.292241;0;0;0;0;2663.7756;0;0;0;0;-3.243645;6.7142487;3.670774;Glioblastoma
1001000183.B12;Neoplastic;1392.4467;0;0;0;0;2157.6958;22.156435;0;0;0;-3.4574761;7.6944594;3.5613213;Glioblastoma
1001000183.C8;Neoplastic;66.767426;0;0;0;4446.1035;0;0;0;0;133.53485;-3.2096102;6.793002;3.6613338;Glioblastoma
1001000183.B4;Neoplastic;527.2692;0;13.127035;0;0;1131.1128;450.69485;0;17.502712;0;-4.380316;7.590866;2.9083686;Glioblastoma
1001000183.B9;Neoplastic;202.26875;0;77.938416;0;0;922.2713;0;0;103.91789;0;-3.5191507;7.445396;3.6045423;Glioblastoma
